CoilID,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X42,X43,X44,X45,X46,X47,X48,X49,Y
487,854.7871950988541,501.0888681547671,414.8414839997674,710.583316069163,662.0720132722062,656.0769767143988,547.0404792771416,563.6535824023899,495.2967847161751,7.706600663271287,36.0,52.76550744656413,906.568610575014,650.023051857351,2.995399575405191,21.630600665962643,1176.7825526684337,898.2306391953358,1361.853333711422,453.2494747629948,622.4244108596795,584.5094736060856,24.274633341021385,15.11092099938088,13.318472631435297,12.276945507808426,9.88737993887752,4.419102222361727,6.181445144755879,9.600175522242514,13.24130143866188,15.892206893738836,18.10875162466612,4105.0,15514355.0,3927.0,3691.0,0.0,165.0,68.0,0.2016453088422715,0.0479601950215372,0.2674667902295744,0.0522468085454382,-0.8931744070698763,0.0,0.0289250545285766,0.0005338217102186,0.010797325550479,0.0
44,1056.5266986818394,868.0833207360012,622.8799815294077,725.2764685733866,665.2355543106795,647.4505501672039,552.3332017232655,565.1050740304544,493.3100751937666,9.49358312965239,35.0,48.156859911559565,1169.7573854084676,630.5848042792759,2.2436332451027625,24.195377781091704,1158.7403270941754,896.4848689772105,1269.2711128557562,607.959283593784,554.1108560244603,556.8650871398074,26.83917729343982,18.007441345570356,12.38915570977907,12.116531036823307,11.86580880155819,4.398156631608202,7.700626810017401,12.309100717407723,15.620738515012258,20.36907653678158,20.04786572357933,31.0,0.0,111.0,64.0,0.0,160.0,61.0,0.6444033497682555,0.0,0.3418698083221037,0.1535128463975722,25.47189913345684,0.0025201716692991,0.0332808324541483,0.0283491064260016,0.0796021519550354,0.0
192,1095.6483621947534,668.1125173746514,695.7879041712638,716.7736708766463,662.8434754214262,657.5423800420003,549.8638672893131,546.2108231736852,482.81475314670007,8.800277899049856,32.0,53.555837643716885,1227.2106380796122,631.994531959378,1.884410795361076,24.49737901690922,1141.3602203196006,886.9951876541694,1289.913806020456,703.2899797392352,698.7381448527411,383.0367011562007,26.72331568074504,17.48454125572702,15.071259093414826,11.79627978212021,11.404999943921664,4.683468489698568,8.297100698011043,12.238149359487249,15.867358288479853,19.52374962346755,20.178661463883767,270.0,0.0,0.0,0.0,144.0,161.0,62.0,0.4865023365481516,0.0,0.2025390645178519,0.16819164746561,-25.764196104972346,0.0020722975200798,0.0338778763962931,0.0,0.0582657314812113,0.0
1552,1050.9435432074763,660.3400154434154,440.2802448525401,611.5624961166016,628.0811031463523,561.3977211736903,456.8162097291055,550.1034328392157,378.3532832833392,2.75931497193532,31.0,59.7391504191711,244.17227202248785,570.0113833242613,,23.40066104444606,1156.3115204436915,889.1791880955631,1546.9132974652998,518.3355388998314,647.589101464742,714.3638397051818,29.82393117706375,-0.2233506254136067,16.063533491194185,11.959600572482106,8.546460125547435,4.458116387821018,5.847022500227303,5.788344201027909,8.056472883910105,9.531328756615656,9.323606792330986,3961.0,17740669.0,3603.0,3649.0,3966.0,170.0,68.0,1.1980098298054558,0.0207867827017382,0.2887859227490789,0.3291083264583408,1.033839521136308,0.000250389755614,0.045489732051439,0.0390043477091441,0.0048502668276772,0.0
1190,1091.640313659408,297.36377544059025,842.6656198721087,749.1608857175037,652.9923089119419,615.5766556182468,608.3647643283957,549.7567580096738,487.753139995114,8.294686530458085,27.0,49.378051461295904,1204.036728129862,656.7746738313476,2.0221301836270045,18.81008107625772,1145.1671628152883,880.618310299343,1085.5674989960496,455.1603295376145,658.3186187549229,626.7326620596632,23.359476761165272,16.070395324643798,15.990442184182289,12.407608211621648,10.330401017497431,4.648380257393636,7.590215481377887,11.38078792657745,15.528242204463304,19.84641903080364,19.85998054497102,0.0,0.0,64.0,87.0,179.0,99.0,63.0,0.2372307093015896,0.0008405432314385,0.2572810100190009,0.1126366080427387,-11.130156856485872,0.0023757572072814,0.0312976128789107,0.0036234593980295,0.0184338421106336,0.0
102,1060.7425836430923,809.7566746702954,675.8825812419138,726.4103828255159,672.1598585656898,661.2509276852876,555.4688590560027,554.4407584732594,492.4620561574054,5.259801837907557,37.0,42.14272886936309,595.5634830534532,546.1178825721754,3.682458241826397,27.163631999895543,1162.6686629025312,898.4100814261006,1496.43076072315,704.7092394755376,754.7561508306527,658.6199087657454,35.53260434197733,20.046584973765025,14.53660833370573,13.588750732689633,10.874019257313853,6.446219613576837,8.512458031240898,11.489792431521568,13.958380536785976,16.788463180487863,17.986590276596573,4133.0,14860868.0,3894.0,4099.0,750.0,164.0,62.0,0.8109140804672221,0.0430393993286273,0.2744670843639138,0.2507030563200815,28.22160592110272,0.0027551499023948,0.049610346058572,0.0010550566235952,0.1172531247980864,0.0
900,1087.1827807361972,513.8239626784149,434.77752879381904,727.7328125549242,661.1795223662934,606.9460962083278,539.3939686641704,532.8646992213371,480.66273978101134,9.8407797474648,31.0,45.68894782216632,1424.830731430849,629.3808220926221,1.348144877400061,27.09454126839603,1168.717742212154,891.4270494019955,1301.4680651983606,595.8977296794566,562.9085616543598,656.8000411294003,29.930337531775518,21.02777227981021,21.528635978033545,13.14620963073494,11.783797700077397,4.678538220223879,8.645789066380148,13.339829315382165,19.201781374471423,20.531181052087483,19.703744073784875,164.0,758548.0,11.0,90.0,6.0,159.0,58.0,0.5653548939239207,0.0008456160064856,0.3416273466868013,0.1151345534480168,8.942980452643342,0.0029182944926259,0.0514153226158713,0.0291539517627592,0.0846159907061173,0.0
674,1082.185852338217,328.16865119719824,395.7322610055948,610.456744056427,650.4919239042019,532.6743354968397,467.58761146869546,544.2606267513028,486.572833019085,5.683115286963743,35.0,41.04427955676777,649.0936726349383,596.4750814037097,3.830879213896,15.579716535960497,1176.382689975889,890.6433884082815,1248.8752132145016,557.3703298982483,632.2062173799883,658.7010037910658,24.777635624410117,13.06588935028218,12.036768942301691,12.653257280107034,9.38809868216445,4.546567453436602,5.771722122010022,7.572519725445733,10.914606862558696,12.99628625810767,14.526203606027456,2894.0,14095772.0,3833.0,3616.0,0.0,167.0,66.0,0.1988474932020862,0.0013839304508953,0.2564158964057836,0.042418127219365,21.99225864252241,0.0007040469809101,0.0394024321952296,2.7620944233869272e-05,0.0093363427365094,0.0
572,1111.579895019203,909.1569959970676,317.8759425354768,731.4791615926539,672.6790978161073,663.6396121649385,547.6164200893354,571.6623427512757,490.8375750211808,11.42592960265775,33.0,44.44469875724435,1466.6135286745794,625.2195540132672,1.6347306951406906,28.810668746802147,1167.1391739277185,890.0315002920345,1235.7533666562715,404.6789463040681,625.1422882486024,227.885311919492,30.8894396242632,17.890214767165617,14.139701356480847,15.05956816701133,7.380507253197563,4.900262310565881,8.91080154990817,13.711504933056846,17.172423199800384,20.085132623354912,19.92505778192229,0.0,0.0,0.0,287.0,0.0,160.0,62.0,0.5184358145366541,0.0,0.2159445054122674,0.0511078054687369,-17.106723323048392,0.0008420072179729,0.0371124028483531,0.0022378742240431,0.011165817997574,0.0
1205,1037.383965058004,609.839904643851,513.5963399721707,728.3630335893658,645.2509900957607,590.7134508905423,601.8428989603342,520.8935748254534,484.41718249223794,5.619273312536737,30.0,36.74669139855413,628.9847386191392,638.4171100466225,,22.616963460404385,1157.945089853588,889.4093084695968,1288.4563304562328,503.0488319036124,647.1975079473793,663.7175272983144,28.37849346167525,16.580178514022467,17.642704577933902,12.763665715990795,9.355163543851504,4.388395459293318,6.220299631110414,8.703384815286366,11.494545011021568,14.37950696287492,15.813716599869178,3979.0,13419193.0,3950.0,269.0,118.0,165.0,62.0,1.0101234738567113,0.0,0.2312854005959262,0.0102569043741279,6.860036315282826,0.0028615332038835,0.0476257890700198,0.0320691724832962,0.1197720084194739,0.0
